year,month,week_number,day,full_date,quarter,day_of_week,is_weekend,date_key
2016,11,46,7,2016-11-07,4,1,0,9274
2016,11,46,8,2016-11-08,4,2,0,9282
2016,11,46,9,2016-11-09,4,3,0,9290
2016,11,46,10,2016-11-10,4,4,0,9292
2016,11,46,11,2016-11-11,4,5,0,9307
2016,11,46,12,2016-11-12,4,6,1,9319
2016,11,47,14,2016-11-14,4,1,0,9336
2016,11,47,15,2016-11-15,4,2,0,9344
2016,11,47,16,2016-11-16,4,3,0,9345
2016,11,47,17,2016-11-17,4,4,0,9348
2016,11,47,18,2016-11-18,4,5,0,9360
2016,11,47,19,2016-11-19,4,6,1,9370
2016,11,48,20,2016-11-20,4,7,1,9375
2016,11,48,21,2016-11-21,4,1,0,9377
2016,11,48,22,2016-11-22,4,2,0,9387
2016,11,48,23,2016-11-23,4,3,0,9391
2016,11,48,24,2016-11-24,4,4,0,9397
2016,11,48,25,2016-11-25,4,5,0,9404
2016,11,48,26,2016-11-26,4,6,1,9412
2016,11,49,27,2016-11-27,4,7,1,9434
2016,11,49,28,2016-11-28,4,1,0,9438
2016,11,49,29,2016-11-29,4,2,0,9440
2016,11,49,30,2016-11-30,4,3,0,9448
2016,12,49,1,2016-12-01,4,4,0,9454
2016,12,49,2,2016-12-02,4,5,0,9461
2016,12,49,3,2016-12-03,4,6,1,9466
2016,12,50,4,2016-12-04,4,7,1,9508
2016,12,50,5,2016-12-05,4,1,0,9509
2016,12,50,6,2016-12-06,4,2,0,9520
2016,12,50,7,2016-12-07,4,3,0,9527
2016,12,50,8,2016-12-08,4,4,0,9533
2016,12,50,9,2016-12-09,4,5,0,9553
2016,12,50,10,2016-12-10,4,6,1,9556
2016,12,51,11,2016-12-11,4,7,1,9564
2016,12,51,12,2016-12-12,4,1,0,9567
2016,12,51,13,2016-12-13,4,2,0,9571
2016,12,51,14,2016-12-14,4,3,0,9573
2016,12,51,15,2016-12-15,4,4,0,9574
2016,12,51,16,2016-12-16,4,5,0,9579
2016,12,51,17,2016-12-17,4,6,1,9585
2016,12,52,18,2016-12-18,4,7,1,9600
2016,12,52,19,2016-12-19,4,1,0,9604
2016,12,52,20,2016-12-20,4,2,0,9611
2016,12,52,21,2016-12-21,4,3,0,9624
2016,12,52,22,2016-12-22,4,4,0,9632
2016,12,52,23,2016-12-23,4,5,0,9647
2016,12,52,24,2016-12-24,4,6,1,9667
2016,12,53,25,2016-12-25,4,7,1,9683
2016,12,53,26,2016-12-26,4,1,0,9685
2016,12,53,27,2016-12-27,4,2,0,9706
2016,12,53,28,2016-12-28,4,3,0,9713
2016,12,53,29,2016-12-29,4,4,0,9721
2016,12,53,30,2016-12-30,4,5,0,9727
2016,12,53,31,2016-12-31,4,6,1,9769
2017,1,1,1,2017-01-01,1,7,1,9776
2017,1,1,2,2017-01-02,1,1,0,9786
2017,1,1,3,2017-01-03,1,2,0,9799
2017,1,1,4,2017-01-04,1,3,0,9806
2017,1,1,5,2017-01-05,1,4,0,9813
2017,1,1,6,2017-01-06,1,5,0,9817
2017,1,1,7,2017-01-07,1,6,1,9822
2017,1,2,8,2017-01-08,1,7,1,9829
2017,1,2,9,2017-01-09,1,1,0,9834
2017,1,2,10,2017-01-10,1,2,0,9839
2017,1,2,11,2017-01-11,1,3,0,9841
